mm_zf_xp_gene	mm_gene	zf_gene	xp_gene
mm_zf_xp_21258	ENSMUSG00000039146	ENSDARG00000060322	NA
mm_zf_xp_21259	ENSMUSG00000039146	ENSDARG00000071355	NA
mm_zf_xp_21260	ENSMUSG00000039146	ENSDARG00000075791	NA
mm_zf_xp_21261	ENSMUSG00000028036	ENSDARG00000074016	LOC101731528
mm_zf_xp_21262	ENSMUSG00000039103	ENSDARG00000057317	nexn-like
mm_zf_xp_21263	ENSMUSG00000028034	ENSDARG00000029248	fubp1
mm_zf_xp_21264	ENSMUSG00000028035	ENSDARG00000038978	dnajb4
mm_zf_xp_21265	ENSMUSG00000039131	ENSDARG00000009488	NA
mm_zf_xp_21266	ENSMUSG00000054942	NA	fam73a
mm_zf_xp_21267	ENSMUSG00000025437	ENSDARG00000016163	usp33
mm_zf_xp_21268	ENSMUSG00000039068	ENSDARG00000077581	zzz3-like
mm_zf_xp_21269	ENSMUSG00000039058	ENSDARG00000012555	Xetrov90011630m
mm_zf_xp_21270	ENSMUSG00000039058	ENSDARG00000012555	ak1
mm_zf_xp_21271	ENSMUSG00000039058	ENSDARG00000012555	fbxl13
mm_zf_xp_21272	ENSMUSG00000039058	ENSDARG00000012555	ak5
mm_zf_xp_21273	ENSMUSG00000039047	ENSDARG00000024479	NA
mm_zf_xp_21274	ENSMUSG00000039037	ENSDARG00000039220	NA
mm_zf_xp_21275	ENSMUSG00000039037	ENSDARG00000057433	NA
mm_zf_xp_21276	ENSMUSG00000052544	ENSDARG00000058473	st6galnac3-like
mm_zf_xp_21277	ENSMUSG00000005493	ENSDARG00000075826	msh4
mm_zf_xp_21278	ENSMUSG00000038975	ENSDARG00000068587	rabggtb
mm_zf_xp_21279	ENSMUSG00000028199	ENSDARG00000016074	NA
mm_zf_xp_21280	ENSMUSG00000047583	ENSDARG00000038222	tyw3
mm_zf_xp_21281	ENSMUSG00000096225	ENSDARG00000002330	lhx8
mm_zf_xp_21282	ENSMUSG00000096225	ENSDARG00000042145	lhx8
mm_zf_xp_21283	ENSMUSG00000028360	ENSDARG00000017398	slc44a5
mm_zf_xp_21284	ENSMUSG00000028360	ENSDARG00000057419	slc44a5
mm_zf_xp_21285	ENSMUSG00000062908	ENSDARG00000038900	acadm
mm_zf_xp_21286	ENSMUSG00000078161	ENSDARG00000069262	NA
mm_zf_xp_21287	ENSMUSG00000053870	ENSDARG00000042139	Xetrov90011649m
mm_zf_xp_21288	ENSMUSG00000053870	ENSDARG00000042139	fpgt
mm_zf_xp_21289	ENSMUSG00000040086	ENSDARG00000086933	NA
mm_zf_xp_21290	ENSMUSG00000040086	ENSDARG00000086933	tnni3k
mm_zf_xp_21291	ENSMUSG00000028182	NA	lrriq3
mm_zf_xp_21292	ENSMUSG00000040037	ENSDARG00000021607	negr1
mm_zf_xp_21293	ENSMUSG00000028180	ENSDARG00000044332	NA
mm_zf_xp_21294	ENSMUSG00000028522	ENSDARG00000001447	mier1-like
mm_zf_xp_21295	ENSMUSG00000028522	ENSDARG00000041072	mier1-like
mm_zf_xp_21296	ENSMUSG00000028521	ENSDARG00000027986	NA
mm_zf_xp_21297	ENSMUSG00000049093	NA	LOC100498117
mm_zf_xp_21298	ENSMUSG00000018341	ENSDARG00000052158	NA
mm_zf_xp_21299	ENSMUSG00000036371	ENSDARG00000087421	serbp1
mm_zf_xp_21300	ENSMUSG00000036371	ENSDARG00000074242	serbp1
mm_zf_xp_21301	ENSMUSG00000036390	ENSDARG00000043581	gadd45a
mm_zf_xp_21302	ENSMUSG00000036390	ENSDARG00000104571	gadd45a
mm_zf_xp_21303	ENSMUSG00000036402	ENSDARG00000003375	gng12
mm_zf_xp_21304	ENSMUSG00000028173	ENSDARG00000009534	NA
mm_zf_xp_21305	ENSMUSG00000028174	ENSDARG00000007480	rpe65
mm_zf_xp_21306	ENSMUSG00000028174	ENSDARG00000094752	rpe65
mm_zf_xp_21307	ENSMUSG00000028174	ENSDARG00000054420	rpe65
mm_zf_xp_21308	ENSMUSG00000028175	ENSDARG00000018165	NA
mm_zf_xp_21309	ENSMUSG00000028176	ENSDARG00000079670	lrrc7
mm_zf_xp_21310	ENSMUSG00000063052	ENSDARG00000017708	lrrc40
mm_zf_xp_21311	ENSMUSG00000055436	ENSDARG00000098574	srsf11-like
mm_zf_xp_21312	ENSMUSG00000039988	ENSDARG00000103831	ankrd13c
mm_zf_xp_21313	ENSMUSG00000028179	ENSDARG00000032206	cth
mm_zf_xp_21314	ENSMUSG00000028179	ENSDARG00000074301	cth
mm_zf_xp_21315	ENSMUSG00000040016	ENSDARG00000055781	NA
mm_zf_xp_21316	ENSMUSG00000066090	ENSDARG00000070966	insl5
mm_zf_xp_21317	ENSMUSG00000035126	ENSDARG00000044400	wdr78
mm_zf_xp_21318	ENSMUSG00000028523	ENSDARG00000103545	LOC100498184
mm_zf_xp_21319	ENSMUSG00000028524	ENSDARG00000097897	sgip1
mm_zf_xp_21320	ENSMUSG00000028524	ENSDARG00000101215	sgip1
mm_zf_xp_21321	ENSMUSG00000069733	NA	ube2u
mm_zf_xp_21322	ENSMUSG00000028532	ENSDARG00000061590	Xetrov90011781m
mm_zf_xp_21323	ENSMUSG00000028532	ENSDARG00000061590	cachd1
mm_zf_xp_21324	ENSMUSG00000035275	ENSDARG00000075034	raver2
mm_zf_xp_21325	ENSMUSG00000028530	ENSDARG00000020625	jak1
mm_zf_xp_21326	ENSMUSG00000028527	ENSDARG00000006546	NA
mm_zf_xp_21327	ENSMUSG00000028528	ENSDARG00000079891	dnajc6
mm_zf_xp_21328	ENSMUSG00000035212	ENSDARG00000110105	leprot
mm_zf_xp_21329	ENSMUSG00000057722	ENSDARG00000070961	lepr
mm_zf_xp_21330	ENSMUSG00000057722	ENSDARG00000070961	Xetrov90030892m
mm_zf_xp_21331	ENSMUSG00000028525	ENSDARG00000032868	Xetrov90011789m
mm_zf_xp_21332	ENSMUSG00000028525	ENSDARG00000032868	Xetrov90011791m
mm_zf_xp_21333	ENSMUSG00000028525	ENSDARG00000032868	pde4b
mm_zf_xp_21334	ENSMUSG00000028525	ENSDARG00000032868	LOC100488846-like
mm_zf_xp_21335	ENSMUSG00000028525	ENSDARG00000074233	Xetrov90011789m
mm_zf_xp_21336	ENSMUSG00000028525	ENSDARG00000074233	Xetrov90011791m
mm_zf_xp_21337	ENSMUSG00000028525	ENSDARG00000074233	pde4b
mm_zf_xp_21338	ENSMUSG00000028525	ENSDARG00000074233	LOC100488846-like
mm_zf_xp_21339	ENSMUSG00000028563	ENSDARG00000057042	tm2d1
mm_zf_xp_21340	ENSMUSG00000028560	ENSDARG00000056414	usp1
mm_zf_xp_21341	ENSMUSG00000028556	ENSDARG00000078675	dock7
mm_zf_xp_21342	ENSMUSG00000028556	ENSDARG00000078675	dock6-like
mm_zf_xp_21343	ENSMUSG00000028553	ENSDARG00000044365	LOC100486380
mm_zf_xp_21344	ENSMUSG00000028553	ENSDARG00000044365	LOC496885
mm_zf_xp_21345	ENSMUSG00000028550	ENSDARG00000044373	atg4c
mm_zf_xp_21346	ENSMUSG00000067261	ENSDARG00000021032	foxd3
mm_zf_xp_21347	ENSMUSG00000073792	ENSDARG00000017617	alg6
mm_zf_xp_21348	ENSMUSG00000028549	NA	itgb3bp-like
mm_zf_xp_21349	ENSMUSG00000073791	ENSDARG00000020279	efcab7-like
mm_zf_xp_21350	ENSMUSG00000035305	ENSDARG00000015176	ror1
mm_zf_xp_21351	ENSMUSG00000028565	ENSDARG00000062420	Xetrov90011758m
mm_zf_xp_21352	ENSMUSG00000028565	ENSDARG00000062420	nfia-like.2
mm_zf_xp_21353	ENSMUSG00000028572	ENSDARG00000042946	hook1
mm_zf_xp_21354	ENSMUSG00000028573	ENSDARG00000038667	fggy
mm_zf_xp_21355	ENSMUSG00000051397	ENSDARG00000040534	epcam
mm_zf_xp_21356	ENSMUSG00000062627	ENSDARG00000034693	mysm1
mm_zf_xp_21357	ENSMUSG00000052684	ENSDARG00000043531	NA
mm_zf_xp_21358	ENSMUSG00000035069	ENSDARG00000090503	oma1-like
mm_zf_xp_21359	ENSMUSG00000028517	ENSDARG00000059933	ppap2b
mm_zf_xp_21360	ENSMUSG00000028518	ENSDARG00000060641	prkaa2
mm_zf_xp_21361	ENSMUSG00000078612	ENSDARG00000086874	NA
mm_zf_xp_21362	ENSMUSG00000078612	ENSDARG00000077288	NA
mm_zf_xp_21363	ENSMUSG00000035031	NA	c8a
mm_zf_xp_21364	ENSMUSG00000029656	ENSDARG00000039517	c8b
mm_zf_xp_21365	ENSMUSG00000028519	ENSDARG00000059939	Xetrov90011744m
mm_zf_xp_21366	ENSMUSG00000028519	ENSDARG00000003290	Xetrov90011744m
mm_zf_xp_21367	ENSMUSG00000028514	NA	usp24
mm_zf_xp_21368	ENSMUSG00000034871	ENSDARG00000058218	NA
mm_zf_xp_21369	ENSMUSG00000025413	ENSDARG00000044405	ttc4-like
mm_zf_xp_21370	ENSMUSG00000043572	ENSDARG00000044404	pars2
mm_zf_xp_21371	ENSMUSG00000034919	ENSDARG00000077836	ttc22
mm_zf_xp_21372	ENSMUSG00000034926	ENSDARG00000013236	dhcr24
mm_zf_xp_21373	ENSMUSG00000025418	ENSDARG00000086265	bsnd
mm_zf_xp_21374	ENSMUSG00000044254	ENSDARG00000074185	pcsk9
mm_zf_xp_21375	ENSMUSG00000061887	ENSDARG00000058237	ssbp3
mm_zf_xp_21376	ENSMUSG00000061887	ENSDARG00000058237	LOC100488961
mm_zf_xp_21377	ENSMUSG00000061887	ENSDARG00000030155	ssbp3
mm_zf_xp_21378	ENSMUSG00000061887	ENSDARG00000030155	LOC100488961
mm_zf_xp_21379	ENSMUSG00000034853	ENSDARG00000042122	acot11-like
mm_zf_xp_21380	ENSMUSG00000034853	ENSDARG00000058229	acot11-like
mm_zf_xp_21381	ENSMUSG00000028622	ENSDARG00000062916	NA
mm_zf_xp_21382	ENSMUSG00000047636	ENSDARG00000075866	cdcp2
mm_zf_xp_21383	ENSMUSG00000028619	ENSDARG00000062919	LOC100145141
mm_zf_xp_21384	ENSMUSG00000028618	ENSDARG00000019033	tmem59
mm_zf_xp_21385	ENSMUSG00000070877	NA	ldlrad1
mm_zf_xp_21386	ENSMUSG00000028617	ENSDARG00000030591	lrrc42-like
mm_zf_xp_21387	ENSMUSG00000063172	NA	hspb11
mm_zf_xp_21388	ENSMUSG00000001604	ENSDARG00000004724	NA
mm_zf_xp_21389	ENSMUSG00000036995	NA	asap3
mm_zf_xp_21390	ENSMUSG00000007872	ENSDARG00000054823	id3
mm_zf_xp_21391	ENSMUSG00000059291	ENSDARG00000043509	rpl11
mm_zf_xp_21392	ENSMUSG00000028668	NA	LOC100497894-like
mm_zf_xp_21393	ENSMUSG00000028669	ENSDARG00000098600	pithd1-like
mm_zf_xp_21394	ENSMUSG00000028670	ENSDARG00000053656	lypla2
mm_zf_xp_21395	ENSMUSG00000028671	ENSDARG00000002401	gale
mm_zf_xp_21396	ENSMUSG00000028672	ENSDARG00000021220	LOC100494904-like
mm_zf_xp_21397	ENSMUSG00000028673	ENSDARG00000035879	NA
mm_zf_xp_21398	ENSMUSG00000028673	ENSDARG00000035890	NA
mm_zf_xp_21399	ENSMUSG00000062585	ENSDARG00000039970	cnr2
mm_zf_xp_21400	ENSMUSG00000028675	ENSDARG00000053291	pnrc2
mm_zf_xp_21401	ENSMUSG00000028676	ENSDARG00000086411	NA
mm_zf_xp_21402	ENSMUSG00000037139	NA	myom3
mm_zf_xp_21403	ENSMUSG00000037157	ENSDARG00000099342	LOC100497960
mm_zf_xp_21404	ENSMUSG00000037157	ENSDARG00000087131	LOC100497960
mm_zf_xp_21405	ENSMUSG00000037157	ENSDARG00000039439	LOC100497960
mm_zf_xp_21406	ENSMUSG00000037157	ENSDARG00000075181	LOC100497960
mm_zf_xp_21407	ENSMUSG00000037157	ENSDARG00000074771	LOC100497960
mm_zf_xp_21408	ENSMUSG00000062157	ENSDARG00000040332	NA
mm_zf_xp_21409	ENSMUSG00000037188	ENSDARG00000078552	grhl3
mm_zf_xp_21410	ENSMUSG00000028801	ENSDARG00000103765	stpg1-like
mm_zf_xp_21411	ENSMUSG00000028803	ENSDARG00000021147	nipal3
mm_zf_xp_21412	ENSMUSG00000059713	ENSDARG00000032623	rcan3
mm_zf_xp_21413	ENSMUSG00000043924	NA	LOC100498121-like
mm_zf_xp_21414	ENSMUSG00000037242	ENSDARG00000022995	clic5
mm_zf_xp_21415	ENSMUSG00000070691	ENSDARG00000052826	runx3
mm_zf_xp_21416	ENSMUSG00000028821	ENSDARG00000004706	syf2
mm_zf_xp_21417	ENSMUSG00000028825	ENSDARG00000002194	rhd
mm_zf_xp_21418	ENSMUSG00000028822	ENSDARG00000015757	NA
mm_zf_xp_21419	ENSMUSG00000028825	ENSDARG00000002194	NA
mm_zf_xp_21420	ENSMUSG00000028826	ENSDARG00000056092	NA
mm_zf_xp_21421	ENSMUSG00000037295	ENSDARG00000039750	NA
mm_zf_xp_21422	ENSMUSG00000037295	ENSDARG00000004311	NA
mm_zf_xp_21423	ENSMUSG00000037306	ENSDARG00000067912	man1c1
mm_zf_xp_21424	ENSMUSG00000050989	NA	sepn1
mm_zf_xp_21425	ENSMUSG00000046671	ENSDARG00000003940	mtfr1l
mm_zf_xp_21426	ENSMUSG00000078521	NA	aunip
mm_zf_xp_21427	ENSMUSG00000037348	ENSDARG00000034907	NA
mm_zf_xp_21428	ENSMUSG00000028832	ENSDARG00000033655	NA
mm_zf_xp_21429	ENSMUSG00000028832	ENSDARG00000004169	NA
mm_zf_xp_21430	ENSMUSG00000037366	NA	pafah2
mm_zf_xp_21431	ENSMUSG00000028838	ENSDARG00000035649	NA
mm_zf_xp_21432	ENSMUSG00000028836	ENSDARG00000021305	slc30a2
mm_zf_xp_21433	ENSMUSG00000050890	ENSDARG00000056509	NA
mm_zf_xp_21434	ENSMUSG00000050105	ENSDARG00000062517	fam110d
mm_zf_xp_21435	ENSMUSG00000028840	ENSDARG00000044102	znf593
mm_zf_xp_21436	ENSMUSG00000028841	ENSDARG00000032932	NA
mm_zf_xp_21437	ENSMUSG00000037443	ENSDARG00000060215	NA
mm_zf_xp_21438	ENSMUSG00000028843	ENSDARG00000098075	sh3bgrl3
mm_zf_xp_21439	ENSMUSG00000012126	ENSDARG00000053828	ubxn11
mm_zf_xp_21440	ENSMUSG00000012123	NA	Xetrov90029136m
mm_zf_xp_21441	ENSMUSG00000012123	NA	Xetrov90029487m
mm_zf_xp_21442	ENSMUSG00000050966	ENSDARG00000016999	lin28a
mm_zf_xp_21443	ENSMUSG00000012117	ENSDARG00000039851	NA
mm_zf_xp_21444	ENSMUSG00000100622	ENSDARG00000099572	hmgn2
mm_zf_xp_21445	ENSMUSG00000003644	ENSDARG00000033437	NA
mm_zf_xp_21446	ENSMUSG00000007880	ENSDARG00000101891	arid1a
mm_zf_xp_21447	ENSMUSG00000007880	ENSDARG00000101710	arid1a
mm_zf_xp_21448	ENSMUSG00000043257	ENSDARG00000101952	pigv-like
mm_zf_xp_21449	ENSMUSG00000037553	ENSDARG00000105034	NA
mm_zf_xp_21450	ENSMUSG00000037553	ENSDARG00000069807	NA
mm_zf_xp_21451	ENSMUSG00000047281	ENSDARG00000032575	NA
mm_zf_xp_21452	ENSMUSG00000028848	ENSDARG00000103127	gpn2
mm_zf_xp_21453	ENSMUSG00000028850	ENSDARG00000052747	gpatch3
mm_zf_xp_21454	ENSMUSG00000028851	ENSDARG00000104837	nudc
mm_zf_xp_21455	ENSMUSG00000037583	ENSDARG00000102756	NA
mm_zf_xp_21456	ENSMUSG00000037583	ENSDARG00000044685	NA
mm_zf_xp_21457	ENSMUSG00000037600	ENSDARG00000101878	kdf1
mm_zf_xp_21458	ENSMUSG00000037600	ENSDARG00000079834	kdf1
mm_zf_xp_21459	ENSMUSG00000056596	ENSDARG00000100722	LOC101732531
mm_zf_xp_21460	ENSMUSG00000037622	ENSDARG00000059760	wdtc1
mm_zf_xp_21461	ENSMUSG00000028857	ENSDARG00000104097	tmem222
mm_zf_xp_21462	ENSMUSG00000028857	ENSDARG00000069589	tmem222
mm_zf_xp_21463	ENSMUSG00000028860	ENSDARG00000070094	sytl1
mm_zf_xp_21464	ENSMUSG00000028860	ENSDARG00000070094	LOC100491589
mm_zf_xp_21465	ENSMUSG00000028862	ENSDARG00000104760	NA
mm_zf_xp_21466	ENSMUSG00000028865	ENSDARG00000096327	LOC101732584
mm_zf_xp_21467	ENSMUSG00000028868	ENSDARG00000024209	NA
mm_zf_xp_21468	ENSMUSG00000037692	ENSDARG00000093453	ahdc1
mm_zf_xp_21469	ENSMUSG00000028874	ENSDARG00000004378	NA
mm_zf_xp_21470	ENSMUSG00000028879	ENSDARG00000044605	stx12
mm_zf_xp_21471	ENSMUSG00000028879	ENSDARG00000098813	stx12
mm_zf_xp_21472	ENSMUSG00000028882	ENSDARG00000022430	ppp1r8
mm_zf_xp_21473	ENSMUSG00000028882	ENSDARG00000007186	ppp1r8
mm_zf_xp_21474	ENSMUSG00000037731	ENSDARG00000058964	themis2
mm_zf_xp_21475	ENSMUSG00000028884	ENSDARG00000037188	rpa2
mm_zf_xp_21476	ENSMUSG00000028885	ENSDARG00000010130	smpdl3b
mm_zf_xp_21477	ENSMUSG00000037752	ENSDARG00000039996	xkr8
mm_zf_xp_21478	ENSMUSG00000037752	ENSDARG00000004498	xkr8
mm_zf_xp_21479	ENSMUSG00000037752	ENSDARG00000076820	xkr8
mm_zf_xp_21480	ENSMUSG00000028886	ENSDARG00000036100	eya3
mm_zf_xp_21481	ENSMUSG00000056529	ENSDARG00000042370	ptafr
mm_zf_xp_21482	ENSMUSG00000054405	ENSDARG00000059373	NA
mm_zf_xp_21483	ENSMUSG00000028893	ENSDARG00000070012	NA
mm_zf_xp_21484	ENSMUSG00000066042	ENSDARG00000041237	med18
mm_zf_xp_21485	ENSMUSG00000066043	ENSDARG00000032221	phactr4
mm_zf_xp_21486	ENSMUSG00000066043	ENSDARG00000015552	phactr4
mm_zf_xp_21487	ENSMUSG00000028896	ENSDARG00000037158	NA
mm_zf_xp_21488	ENSMUSG00000028898	ENSDARG00000101323	NA
mm_zf_xp_21489	ENSMUSG00000028899	ENSDARG00000104030	taf12
mm_zf_xp_21490	ENSMUSG00000028901	ENSDARG00000062060	gmeb1
mm_zf_xp_21491	ENSMUSG00000040025	ENSDARG00000014498	ythdf2-like
mm_zf_xp_21492	ENSMUSG00000050511	ENSDARG00000037159	oprd1
mm_zf_xp_21493	ENSMUSG00000050511	ENSDARG00000041660	oprd1
mm_zf_xp_21494	ENSMUSG00000028906	ENSDARG00000099283	NA
mm_zf_xp_21495	ENSMUSG00000070720	ENSDARG00000104274	LOC100497282
mm_zf_xp_21496	ENSMUSG00000028911	ENSDARG00000105293	srsf4-like
mm_zf_xp_21497	ENSMUSG00000028910	ENSDARG00000032326	mecr
mm_zf_xp_21498	ENSMUSG00000028909	ENSDARG00000092638	ptpru
mm_zf_xp_21499	ENSMUSG00000028909	ENSDARG00000101081	ptpru
mm_zf_xp_21500	ENSMUSG00000040533	ENSDARG00000030215	matn1
mm_zf_xp_21501	ENSMUSG00000025743	ENSDARG00000100562	sdc3
mm_zf_xp_21502	ENSMUSG00000028580	ENSDARG00000099256	pum1
mm_zf_xp_21503	ENSMUSG00000078532	ENSDARG00000006859	nkain1
mm_zf_xp_21504	ENSMUSG00000074088	ENSDARG00000023160	snrnp40
mm_zf_xp_21505	ENSMUSG00000028772	ENSDARG00000018936	Xetrov90004847m
mm_zf_xp_21506	ENSMUSG00000028773	ENSDARG00000023290	NA
mm_zf_xp_21507	ENSMUSG00000023232	ENSDARG00000056532	serinc2
mm_zf_xp_21508	ENSMUSG00000023232	ENSDARG00000053425	serinc2
mm_zf_xp_21509	ENSMUSG00000028778	ENSDARG00000023722	NA
mm_zf_xp_21510	ENSMUSG00000028779	ENSDARG00000023989	NA
mm_zf_xp_21511	ENSMUSG00000040690	NA	LOC100497018
mm_zf_xp_21512	ENSMUSG00000028782	ENSDARG00000025667	bai2-like
mm_zf_xp_21513	ENSMUSG00000028788	ENSDARG00000087443	ptp4a2
mm_zf_xp_21514	ENSMUSG00000028788	ENSDARG00000035676	ptp4a2
mm_zf_xp_21515	ENSMUSG00000028790	ENSDARG00000070475	khdrbs1
mm_zf_xp_21516	ENSMUSG00000028790	ENSDARG00000052856	khdrbs1
mm_zf_xp_21517	ENSMUSG00000053730	ENSDARG00000018956	tmem39b
mm_zf_xp_21518	ENSMUSG00000003731	ENSDARG00000044980	LOC100496743
mm_zf_xp_21519	ENSMUSG00000053841	ENSDARG00000077037	txlna
mm_zf_xp_21520	ENSMUSG00000028795	ENSDARG00000011222	ccdc28b
mm_zf_xp_21521	ENSMUSG00000040795	ENSDARG00000092483	iqcc-like
mm_zf_xp_21522	ENSMUSG00000078552	NA	dcdc2b
mm_zf_xp_21523	ENSMUSG00000028797	NA	tmem234-like
mm_zf_xp_21524	ENSMUSG00000028798	ENSDARG00000017445	eif3i
mm_zf_xp_21525	ENSMUSG00000050493	ENSDARG00000100426	NA
mm_zf_xp_21526	ENSMUSG00000000409	NA	lck
mm_zf_xp_21527	ENSMUSG00000028800	ENSDARG00000015427	NA
mm_zf_xp_21528	ENSMUSG00000047945	NA	marcksl1
mm_zf_xp_21529	ENSMUSG00000040859	ENSDARG00000052623	bsdc1
mm_zf_xp_21530	ENSMUSG00000048485	NA	zbtb8b
mm_zf_xp_21531	ENSMUSG00000028807	ENSDARG00000059226	zbtb8a.1
mm_zf_xp_21532	ENSMUSG00000057572	ENSDARG00000016368	zbtb8os
mm_zf_xp_21533	ENSMUSG00000057236	ENSDARG00000029058	rbbp4
mm_zf_xp_21534	ENSMUSG00000001333	ENSDARG00000035944	sync
mm_zf_xp_21535	ENSMUSG00000050390	ENSDARG00000061804	kiaa1522-like
mm_zf_xp_21536	ENSMUSG00000028811	ENSDARG00000035913	NA
mm_zf_xp_21537	ENSMUSG00000040928	NA	s100pbp
mm_zf_xp_21538	ENSMUSG00000001334	ENSDARG00000069739	NA
mm_zf_xp_21539	ENSMUSG00000001334	ENSDARG00000035895	NA
mm_zf_xp_21540	ENSMUSG00000028785	ENSDARG00000018397	NA
mm_zf_xp_21541	ENSMUSG00000028786	ENSDARG00000059247	NA
mm_zf_xp_21542	ENSMUSG00000028786	ENSDARG00000035875	NA
mm_zf_xp_21543	ENSMUSG00000028793	ENSDARG00000060926	rnf19b
mm_zf_xp_21544	ENSMUSG00000028792	ENSDARG00000005926	ak2
mm_zf_xp_21545	ENSMUSG00000028799	ENSDARG00000060900	znf362
mm_zf_xp_21546	ENSMUSG00000028799	ENSDARG00000062231	znf362
mm_zf_xp_21547	ENSMUSG00000028804	NA	csmd2
mm_zf_xp_21548	ENSMUSG00000042380	ENSDARG00000070358	Xetrov90014125m
mm_zf_xp_21549	ENSMUSG00000042380	ENSDARG00000070358	LOC101734635
mm_zf_xp_21550	ENSMUSG00000042357	NA	gjb5
mm_zf_xp_21551	ENSMUSG00000042357	NA	LOC100486331
mm_zf_xp_21552	ENSMUSG00000042367	ENSDARG00000042866	gjb3
mm_zf_xp_21553	ENSMUSG00000050234	ENSDARG00000070357	gja4
mm_zf_xp_21554	ENSMUSG00000042388	ENSDARG00000055459	dlgap3
mm_zf_xp_21555	ENSMUSG00000070737	NA	zmym6nb
mm_zf_xp_21556	ENSMUSG00000043872	ENSDARG00000068279	LOC100496059
mm_zf_xp_21557	ENSMUSG00000043872	ENSDARG00000068279	LOC100494784
mm_zf_xp_21558	ENSMUSG00000043872	ENSDARG00000068279	LOC101733787
mm_zf_xp_21559	ENSMUSG00000043872	ENSDARG00000068279	LOC100498085
mm_zf_xp_21560	ENSMUSG00000043872	ENSDARG00000068279	Xetrov90016258m
mm_zf_xp_21561	ENSMUSG00000043872	ENSDARG00000068279	Xetrov90002034m
mm_zf_xp_21562	ENSMUSG00000043872	ENSDARG00000068279	Xetrov90003300m
mm_zf_xp_21563	ENSMUSG00000043872	ENSDARG00000068279	Xetrov90017978m
mm_zf_xp_21564	ENSMUSG00000043872	ENSDARG00000068279	LOC101731199
mm_zf_xp_21565	ENSMUSG00000028820	ENSDARG00000011564	sfpq
mm_zf_xp_21566	ENSMUSG00000042446	NA	zmym4
mm_zf_xp_21567	ENSMUSG00000028830	ENSDARG00000035660	kiaa0319l
mm_zf_xp_21568	ENSMUSG00000028833	ENSDARG00000098544	ncdn-like
mm_zf_xp_21569	ENSMUSG00000042477	ENSDARG00000008861	tfap2e
mm_zf_xp_21570	ENSMUSG00000028837	ENSDARG00000031511	psmb2
mm_zf_xp_21571	ENSMUSG00000042500	ENSDARG00000100854	LOC100495218-like
mm_zf_xp_21572	ENSMUSG00000041530	ENSDARG00000092644	ago1
mm_zf_xp_21573	ENSMUSG00000028842	ENSDARG00000063079	NA
mm_zf_xp_21574	ENSMUSG00000028845	ENSDARG00000028973	tekt2
mm_zf_xp_21575	ENSMUSG00000042558	ENSDARG00000019338	NA
mm_zf_xp_21576	ENSMUSG00000056174	ENSDARG00000060893	col8a2
mm_zf_xp_21577	ENSMUSG00000028847	ENSDARG00000045364	trappc3
mm_zf_xp_21578	ENSMUSG00000043962	ENSDARG00000098228	thrap3
mm_zf_xp_21579	ENSMUSG00000073758	ENSDARG00000099448	NA
mm_zf_xp_21580	ENSMUSG00000050212	ENSDARG00000100698	NA
mm_zf_xp_21581	ENSMUSG00000042608	ENSDARG00000098135	stk40
mm_zf_xp_21582	ENSMUSG00000050188	NA	lsm10
mm_zf_xp_21583	ENSMUSG00000042616	NA	oscp1
mm_zf_xp_21584	ENSMUSG00000028861	ENSDARG00000109289	NA
mm_zf_xp_21585	ENSMUSG00000028859	ENSDARG00000045959	Xetrov90004892m
mm_zf_xp_21586	ENSMUSG00000001985	ENSDARG00000077715	LOC100498426
mm_zf_xp_21587	ENSMUSG00000042677	ENSDARG00000005271	zc3h12a
mm_zf_xp_21588	ENSMUSG00000042677	ENSDARG00000101034	zc3h12a
mm_zf_xp_21589	ENSMUSG00000028863	ENSDARG00000101216	meaf6
mm_zf_xp_21590	ENSMUSG00000050213	NA	snip1
mm_zf_xp_21591	ENSMUSG00000042707	ENSDARG00000069815	dnali1
mm_zf_xp_21592	ENSMUSG00000028869	ENSDARG00000098080	gnl2
mm_zf_xp_21593	ENSMUSG00000028871	ENSDARG00000104340	rspo1
mm_zf_xp_21594	ENSMUSG00000028873	ENSDARG00000043137	cdca8
mm_zf_xp_21595	ENSMUSG00000042763	ENSDARG00000056450	manea
mm_zf_xp_21596	ENSMUSG00000028889	ENSDARG00000041428	NA
mm_zf_xp_21597	ENSMUSG00000028890	ENSDARG00000102898	mtf1
mm_zf_xp_21598	ENSMUSG00000028894	ENSDARG00000103683	LOC100497120-like
mm_zf_xp_21599	ENSMUSG00000028902	ENSDARG00000100114	sf3a3
mm_zf_xp_21600	ENSMUSG00000032643	ENSDARG00000034643	fhl3
mm_zf_xp_21601	ENSMUSG00000032643	ENSDARG00000104315	fhl3
mm_zf_xp_21602	ENSMUSG00000090125	ENSDARG00000009823	pou3f1
mm_zf_xp_21603	ENSMUSG00000090125	ENSDARG00000044774	pou3f1
mm_zf_xp_21604	ENSMUSG00000028646	ENSDARG00000099049	rragc
mm_zf_xp_21605	ENSMUSG00000028646	ENSDARG00000006279	rragc
mm_zf_xp_21606	ENSMUSG00000028646	ENSDARG00000069829	rragc
mm_zf_xp_21607	ENSMUSG00000028647	ENSDARG00000091001	mycbp
mm_zf_xp_21608	ENSMUSG00000028647	ENSDARG00000091001	NA
mm_zf_xp_21609	ENSMUSG00000043333	ENSDARG00000069833	rhbdl2
mm_zf_xp_21610	ENSMUSG00000023075	ENSDARG00000039969	akirin1
